ID,学年,漢字,画数,音読み,訓読み,ヒント音読み,ヒント訓読み
6038,6,券,8,ケン,,株券,
6039,6,呼,8,コ,よ(ぶ),呼応,呼子
6040,6,刻,8,コク,きざ(む),一刻,
6041,6,若,8,ジャク・ニャク,わか(い)・も(しくは),自若、若道,若井、若しくは
6042,6,宗,8,シュウ・ソウ,,円宗、佐宗,
6043,6,承,8,ショウ,うけたまわ(る),永承,
6044,6,垂,8,スイ,た(れる)・た(らす),下垂,
6045,6,担,8,タン,かつ(ぐ)・にな(う),担当,
6046,6,宙,8,チュウ,,宙返,
6047,6,忠,8,チュウ,,誠忠,
6048,6,届,8,ー,とど(ける)・とど(く),,
6049,6,乳,8,ニュウ,ちち・ち,牛乳,お乳、お乳
6050,6,拝,8,ハイ,おが(む),九拝,
6051,6,並,8,ヘイ,なみ・なら(べる)・なら(ぶ),並記,並外
6052,6,宝,8,ホウ,たから,家宝,宝探
6053,6,枚,8,マイ,,一枚,
6054,6,胃,9,イ,,胃液,
6055,6,映,9,エイ,うつ(る)・うつ(す)・は(える),反映,
6056,6,革,9,カク,かわ,沿革,大革
6057,6,巻,9,カン,ま(く)・まき,圧巻,巻付
6058,6,看,9,カン,,看過,
6059,6,皇,9,コウ・オウ,,教皇、味皇,
6060,6,紅,9,コウ・ク,べに・くれない,紅花、口紅,寒紅、紅染
6061,6,砂,9,サ・シャ,すな,砂金、金砂,北砂
6062,6,姿,9,シ,すがた,後姿,後姿
6063,6,宣,9,セン,のたま(う),街宣,
6064,6,専,9,セン,もっぱ(ら),専修,専ら
6065,6,泉,9,セン,いずみ,塩泉,和泉
6066,6,洗,9,セン,あら(う),一洗,
6067,6,染,9,セン,そ(める)・そ(まる)・し(みる)・し(み),感染,染み
6068,6,奏,9,ソウ,かな(でる),演奏,
6069,6,退,9,タイ,しりぞ(く)・しりぞ(ける),引退,
6070,6,段,9,ダン,,段取,
6071,6,派,9,ハ,,派生,
6072,6,背,9,ハイ,せ・せい・そむ(く)・そむ(ける),後背,背負、背板
6073,6,肺,9,ハイ,,片肺,
6074,6,律,9,リツ・リチ,,一律、律義,
6075,6,恩,10,オン,,恩着,
6076,6,株,10,シュ,かぶ,異株,株分
6077,6,胸,10,キョウ,むね・むな,開胸,胸焼、胸板
6078,6,降,10,コウ,お(りる)・お(ろす)・ふ(る),以降,
6079,6,骨,10,コツ,ほね,遺骨,骨休
6080,6,座,10,ザ,すわ(る),講座,
6081,6,蚕,10,サン,かいこ,蚕業,蚕
6082,6,射,10,シャ,い(る),顔射,
6083,6,従,10,ジュウ・ショウ・ジュ,したが(う)・したが(える),帰従、合従、帰従,
6084,6,純,10,ジュン,,単純,
6085,6,除,10,ジョ・ジ,のぞ(く),解除、解除,
6086,6,将,10,ショウ,まさ(に),一将,
6087,6,針,10,シン,はり,一針,小針
6088,6,値,10,チ,あたい・ね,域値,値表、値引
6089,6,展,10,テン,,展開,
6090,6,討,10,トウ,う(つ),検討,
6091,6,党,10,トウ,,悪党,
6092,6,納,10,ノウ・ナッ・ナ・ナン・トウ,おさ(める)・おさ(まる),格納、納得、納得、納戸、出納,
6093,6,俳,10,ハイ,,俳画,
6094,6,班,10,ハン,,各班,
6095,6,秘,10,ヒ,ひ(める),極秘,
6096,6,俵,10,ヒョウ,たわら,土俵,俵
6097,6,陛,10,ヘイ,,陛下,
6098,6,朗,10,ロウ,ほが(らか),一朗,朗らか
6099,6,異,11,イ,こと,異常,相異
6100,6,域,11,イキ,,異域,
6101,6,郷,11,キョウ・ゴウ,,愛郷、石郷,
6102,6,済,11,サイ,す(む)・す(ます),一済,
6103,6,視,11,シ,み(る),無視,
6104,6,捨,11,シャ,す(てる),喜捨,
6105,6,推,11,スイ,お(す),型推,おすいもじ(御推文字)
6106,6,盛,11,セイ・ジョウ,も(る)・さか(る)・さか(ん),強盛、強盛,盛ん
6107,6,窓,11,ソウ,まど,学窓,赤窓
6108,6,探,11,タン,さが(す)・さぐ(る),逆探,
6109,6,著,11,チョ,あらわ(す)・いちじる(しい),遺著,
6110,6,頂,11,チョウ,いただ(く)・いただき,雲頂,頂き
6111,6,脳,11,ノウ,,右脳,
6112,6,閉,11,ヘイ,と(じる)・と(ざす)・し(める)・し(まる),開閉,
6113,6,訪,11,ホウ,おとず(れる)・たず(ねる),往訪,
6114,6,密,11,ミツ,,圧密,
6115,6,訳,11,ヤク,わけ,意訳,訳無
6116,6,郵,11,ユウ,,郵券,
6117,6,欲,11,ヨク,ほっ(する)・ほ(しい),欲深,
6118,6,翌,11,ヨク,,翌朝,
6119,6,割,12,カツ,わ(る)・わ(れる)・さ(く),分割,割る
6120,6,揮,12,キ,,発揮,
6121,6,貴,12,キ,とうと(い)・たっと(い),兄貴,
6122,6,勤,12,キン・ゴン,つと(める)・つと(まる),外勤、勤行,
6123,6,筋,12,キン,すじ,帯筋,筋合
6124,6,敬,12,ケイ,うやま(う),愛敬,
6125,6,裁,12,サイ,た(つ)・さば(く),家裁,
6126,6,策,12,サク,,一策,
6127,6,詞,12,シ,,歌詞,
6128,6,就,12,シュウ・ジュ,つ(く)・つ(ける),去就、成就,
6129,6,衆,12,シュウ・シュ,,男衆、男衆,
6130,6,善,12,ゼン,よ(い),改善,
6131,6,創,12,ソウ,つく(る),割創,
6132,6,装,12,ソウ・ショウ,よそお(う),改装、衣装,
6133,6,尊,12,ソン,とうと(い)・たっと(い)・とうと(ぶ)・たっと(ぶ),至尊,
6134,6,痛,12,ツウ,いた(い)・いた(む)・いた(める),圧痛,痛い目
6135,6,晩,12,バン,,今晩,
6136,6,補,12,ホ,おぎな(う),候補,
6137,6,棒,12,ボウ,,棒読,
6138,6,絹,13,ケン,きぬ,絹雲,絹糸
6139,6,源,13,ゲン,みなもと,永源,源家
6140,6,署,13,ショ,,各署,
6141,6,傷,13,ショウ,きず・いた(む)・いた(める),感傷,傷付
6142,6,蒸,13,ジョウ,む(す)・む(れる)・む(らす),蒸気,
6143,6,聖,13,セイ・ショウ,ひじり,歌聖、聖教,聖橋
6144,6,誠,13,セイ,まこと,一誠,誠人
6145,6,暖,13,ダン,あたた(か)・あたた(かい)・あたた(まる)・あたた(める),温暖,暖
6146,6,腸,13,チョウ,はらわた,胃腸,腸
6147,6,賃,13,チン,,賃下,
6148,6,腹,13,フク,はら,異腹,腹減
6149,6,幕,13,マク・バク,,幕引、旧幕,
6150,6,盟,13,メイ,,加盟,
6151,6,預,13,ヨ,あず(ける)・あず(かる),預金,
6152,6,裏,13,リ,うら,裏切,裏投
6153,6,閣,14,カク,,閣外,
6154,6,疑,14,ギ,うたが(う),疑義,
6155,6,誤,14,ゴ,あやま(る),過誤,
6156,6,穀,14,コク,,穀雨,
6157,6,誌,14,シ,,会誌,
6158,6,磁,14,ジ,,消磁,
6159,6,障,14,ショウ,さわ(る),障害,
6160,6,銭,14,セン,ぜに,悪銭,銭失
6161,6,層,14,ソウ,,一層,
6162,6,認,14,ニン,みと(める),確認,
6163,6,暮,14,ボ,く(れる)・く(らす),暮雨,
6164,6,模,14,モ・ボ,,模型、規模,
6165,6,遺,15,イ・ユイ,,遺愛、遺言,
6166,6,劇,15,ゲキ,,演劇,
6167,6,権,15,ケン・ゴン,,政権、権教,
6168,6,熟,15,ジュク,う(れる),円熟,
6169,6,諸,15,ショ,もろ,諸悪,小諸
6170,6,蔵,15,ゾウ,くら,内蔵,大蔵
6171,6,誕,15,タン,,降誕,
6172,6,潮,15,チョウ,しお,干潮,潮垂
6173,6,敵,15,テキ,かたき,素敵,敵討
6174,6,論,15,ロン,,一論,
6175,6,激,16,ゲキ,はげ(しい),過激,
6176,6,憲,16,ケン,,改憲,
6177,6,鋼,16,コウ,はがね,形鋼,玉鋼
6178,6,樹,16,ジュ,き,一樹,一樹
6179,6,縦,16,ジュウ,たて,縦横,縦組
6180,6,操,16,ソウ,みさお・あやつ(る),志操,操
6181,6,糖,16,トウ,,果糖,
6182,6,奮,16,フン,ふる(う),興奮,
6183,6,厳,17,ゲン,おごそ(か)・きび(しい),厳格,厳か
6184,6,縮,17,シュク,ちぢ(む)・ちぢ(まる)・ちぢ(める)・ちぢ(れる)・ちぢ(らす),圧縮,
6185,6,優,17,ユウ,やさ(しい)・すぐ(れる),女優,
6186,6,覧,17,ラン,,一覧,
6187,6,簡,18,カン,,簡易,
6188,6,難,18,ナン,むずか(しい)・かた(い),難無,難
6189,6,臨,18,リン,のぞ(む),君臨,
6190,6,警,19,ケイ,,警告,
6191,6,臓,19,ゾウ,,五臓,
